NAMA,KELAS,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,NILAI_1,NILAI_2,NILAI_3,NILAI_4,NILAI_5,NILAI_6,TOTAL_NILAI,REKOMENDASI_MATERI
Kunci Jawaban,-,B,D,C,A,C,D,A,D,C,B,C,C,B,C,A,B,C,B,,,,,,,,
Siswa_1_1,Kelas 2,A,A,B,A,C,D,A,D,C,B,C,C,B,C,A,B,C,B,"0,00","100,00","100,00","100,00","100,00","100,00","83,33",Materi 1: Perkalian sebagai Penjumlahan Berulang
Siswa_1_2,Kelas 2,A,C,C,A,B,D,A,D,C,B,C,B,B,C,A,B,C,B,"33,33","66,67","100,00","66,67","100,00","100,00","77,78",Materi 1: Perkalian sebagai Penjumlahan Berulang
Siswa_1_3,Kelas 2,A,B,D,A,C,D,A,C,C,A,C,C,B,C,A,D,C,B,"0,00","100,00","66,67","66,67","100,00","66,67","66,67",Materi 1: Perkalian sebagai Penjumlahan Berulang
Siswa_1_4,Kelas 2,B,A,B,A,B,D,A,D,C,C,C,C,B,C,A,B,C,B,"33,33","66,67","100,00","66,67","100,00","100,00","77,78",Materi 1: Perkalian sebagai Penjumlahan Berulang
Siswa_1_5,Kelas 2,A,A,D,A,C,D,A,D,C,B,C,C,B,C,A,B,C,D,"0,00","100,00","100,00","100,00","100,00","66,67","77,78",Materi 1: Perkalian sebagai Penjumlahan Berulang
Siswa_1_6,Kelas 2,C,A,B,A,D,D,A,D,C,B,C,C,B,C,A,B,C,B,"0,00","66,67","100,00","100,00","100,00","100,00","77,78",Materi 1: Perkalian sebagai Penjumlahan Berulang
Siswa_1_7,Kelas 2,C,A,D,A,C,D,A,D,C,B,C,C,B,C,A,B,C,B,"0,00","100,00","100,00","100,00","100,00","100,00","83,33",Materi 1: Perkalian sebagai Penjumlahan Berulang
Siswa_1_8,Kelas 2,D,A,A,A,C,A,A,D,C,B,C,C,B,C,A,B,C,B,"0,00","66,67","100,00","100,00","100,00","100,00","77,78",Materi 1: Perkalian sebagai Penjumlahan Berulang
Siswa_1_9,Kelas 2,C,A,D,A,A,D,A,D,C,B,C,C,B,C,A,B,C,B,"0,00","66,67","100,00","100,00","100,00","100,00","77,78",Materi 1: Perkalian sebagai Penjumlahan Berulang
