NAMA,KELAS,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,NILAI_1,NILAI_2,NILAI_3,NILAI_4,NILAI_5,NILAI_6,TOTAL_NILAI,REKOMENDASI_MATERI
Siswa_Gen_1,Kelas 4,B,D,C,A,C,A,A,D,C,B,C,C,B,C,A,B,C,B,100.0,66.67,100.0,100.0,100.0,100.0,94.44,Materi 2: Sifat Komutatif (Sifat Pertukaran)
Siswa_Gen_2,Kelas 4,B,D,C,D,D,D,A,B,C,B,C,B,B,C,A,D,A,D,100.0,33.33,66.67,66.67,100.0,0.0,61.11,"Materi 6: Perkalian dengan 3, 4, 6, 7, 8, dan 9"
Siswa_Gen_3,Kelas 4,B,D,C,A,C,D,C,C,C,B,C,C,B,C,A,B,C,B,100.0,100.0,33.33,100.0,100.0,100.0,88.89,Materi 3: Perkalian dengan 1 dan 0
Siswa_Gen_4,Kelas 4,B,B,C,A,D,D,B,D,D,C,D,C,D,C,A,D,C,B,66.67,66.67,33.33,33.33,66.67,66.67,55.56,Materi 3: Perkalian dengan 1 dan 0
Siswa_Gen_5,Kelas 4,C,D,C,A,D,D,A,A,A,B,C,A,C,C,A,A,C,B,66.67,66.67,33.33,66.67,66.67,66.67,61.11,Materi 3: Perkalian dengan 1 dan 0
Siswa_Gen_6,Kelas 4,B,D,C,A,A,A,A,D,C,B,C,C,B,C,A,B,C,B,100.0,33.33,100.0,100.0,100.0,100.0,88.89,Materi 2: Sifat Komutatif (Sifat Pertukaran)
Siswa_Gen_7,Kelas 4,B,C,D,D,C,B,A,D,C,D,C,C,D,C,C,B,C,A,33.33,33.33,100.0,66.67,33.33,66.67,55.55,Materi 1: Perkalian sebagai Penjumlahan Berulang
Siswa_Gen_8,Kelas 4,C,B,C,A,C,C,A,D,C,B,A,C,B,C,D,A,C,B,33.33,66.67,100.0,66.67,66.67,66.67,66.67,Materi 1: Perkalian sebagai Penjumlahan Berulang
Siswa_Gen_9,Kelas 4,A,D,A,D,D,D,A,D,B,D,A,B,A,D,A,B,D,D,33.33,33.33,66.67,0.0,33.33,33.33,33.33,Materi 4: Perkalian dengan 2 dan 5
Siswa_Gen_10,Kelas 4,B,D,C,A,A,D,B,A,D,B,C,C,C,C,A,B,C,B,100.0,66.67,0.0,100.0,66.67,100.0,72.22,Materi 3: Perkalian dengan 1 dan 0
Siswa_Gen_11,Kelas 4,B,D,A,D,D,D,C,D,B,B,C,C,B,B,A,B,B,B,66.67,33.33,33.33,100.0,66.67,66.67,61.11,Materi 2: Sifat Komutatif (Sifat Pertukaran)
Siswa_Gen_12,Kelas 4,B,D,C,A,C,D,A,D,C,B,C,C,B,C,D,B,C,B,100.0,100.0,100.0,100.0,66.67,100.0,94.44,Materi 5: Perkalian dengan 10
Siswa_Gen_13,Kelas 4,B,D,C,A,A,A,A,D,D,C,C,C,B,C,A,B,C,C,100.0,33.33,66.67,66.67,100.0,66.67,72.22,Materi 2: Sifat Komutatif (Sifat Pertukaran)
Siswa_Gen_14,Kelas 4,B,D,C,A,A,D,A,D,C,D,D,B,B,C,A,B,C,B,100.0,66.67,100.0,0.0,100.0,100.0,77.78,Materi 4: Perkalian dengan 2 dan 5
Siswa_Gen_15,Kelas 4,B,D,C,A,C,A,A,B,B,A,C,D,D,C,A,B,C,B,100.0,66.67,33.33,33.33,66.67,100.0,66.67,Materi 3: Perkalian dengan 1 dan 0
Siswa_Gen_16,Kelas 4,A,D,D,C,A,B,A,D,D,B,C,A,A,A,A,B,D,C,33.33,0.0,66.67,66.67,33.33,33.33,38.89,Materi 2: Sifat Komutatif (Sifat Pertukaran)
Siswa_Gen_17,Kelas 4,A,D,C,A,C,D,D,A,C,C,A,D,B,C,A,D,C,B,66.67,100.0,33.33,0.0,100.0,66.67,61.11,Materi 4: Perkalian dengan 2 dan 5
Siswa_Gen_18,Kelas 4,B,D,C,A,C,D,A,D,C,B,B,D,B,C,A,B,C,B,100.0,100.0,100.0,33.33,100.0,100.0,88.89,Materi 4: Perkalian dengan 2 dan 5
Siswa_Gen_19,Kelas 4,B,D,C,A,C,D,A,D,C,B,C,C,A,C,A,B,C,B,100.0,100.0,100.0,100.0,66.67,100.0,94.44,Materi 5: Perkalian dengan 10
Siswa_Gen_20,Kelas 4,A,D,C,C,B,B,C,D,A,B,B,C,B,A,D,C,C,D,66.67,0.0,33.33,66.67,33.33,33.33,38.89,Materi 2: Sifat Komutatif (Sifat Pertukaran)
Siswa_Gen_21,Kelas 4,C,D,C,A,C,D,A,D,C,B,C,C,B,C,A,C,D,B,66.67,100.0,100.0,100.0,100.0,33.33,83.33,"Materi 6: Perkalian dengan 3, 4, 6, 7, 8, dan 9"
Siswa_Gen_22,Kelas 4,B,D,C,C,B,B,D,C,C,C,C,D,B,B,B,B,C,B,100.0,0.0,33.33,33.33,33.33,100.0,50.0,Materi 2: Sifat Komutatif (Sifat Pertukaran)
Siswa_Gen_23,Kelas 4,A,D,C,A,C,B,A,D,A,B,D,C,C,D,A,B,C,B,66.67,66.67,66.67,66.67,33.33,100.0,66.67,Materi 5: Perkalian dengan 10
Siswa_Gen_24,Kelas 4,B,D,C,A,C,A,D,D,C,A,D,C,D,B,A,B,A,B,100.0,66.67,66.67,33.33,33.33,66.67,61.11,Materi 4: Perkalian dengan 2 dan 5
Siswa_Gen_25,Kelas 4,B,D,C,A,C,D,A,C,C,B,C,C,A,C,A,B,C,B,100.0,100.0,66.67,100.0,66.67,100.0,88.89,Materi 3: Perkalian dengan 1 dan 0
Siswa_Gen_26,Kelas 4,A,C,C,B,C,B,A,A,D,B,B,C,B,B,A,C,C,D,33.33,33.33,33.33,66.67,66.67,33.33,44.44,Materi 1: Perkalian sebagai Penjumlahan Berulang
Siswa_Gen_27,Kelas 4,D,C,C,A,C,D,A,D,C,B,C,C,A,B,A,B,C,B,33.33,100.0,100.0,100.0,33.33,100.0,77.78,Materi 1: Perkalian sebagai Penjumlahan Berulang
Siswa_Gen_28,Kelas 4,D,D,C,A,C,D,A,D,C,B,C,C,B,C,A,A,B,C,66.67,100.0,100.0,100.0,100.0,0.0,77.78,"Materi 6: Perkalian dengan 3, 4, 6, 7, 8, dan 9"
Siswa_Gen_29,Kelas 4,B,D,B,A,C,D,A,D,C,B,C,A,B,C,A,D,C,A,66.67,100.0,100.0,66.67,100.0,33.33,77.78,"Materi 6: Perkalian dengan 3, 4, 6, 7, 8, dan 9"
Siswa_Gen_30,Kelas 4,B,D,C,C,D,C,A,D,C,B,A,B,B,A,A,B,C,B,100.0,0.0,100.0,33.33,66.67,100.0,66.67,Materi 2: Sifat Komutatif (Sifat Pertukaran)
Siswa_Gen_31,Kelas 4,B,A,C,A,D,D,A,D,C,B,C,D,B,C,A,C,C,B,66.67,66.67,100.0,66.67,100.0,66.67,77.78,Materi 1: Perkalian sebagai Penjumlahan Berulang
Siswa_Gen_32,Kelas 4,D,D,C,A,C,D,D,C,A,A,C,C,B,D,A,B,C,B,66.67,100.0,0.0,66.67,66.67,100.0,66.67,Materi 3: Perkalian dengan 1 dan 0
Siswa_Gen_33,Kelas 4,B,D,C,A,D,D,A,D,C,D,C,C,A,C,A,B,C,A,100.0,66.67,100.0,66.67,66.67,66.67,77.78,Materi 2: Sifat Komutatif (Sifat Pertukaran)
